2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
270,DHN,Dothan Regional,Dothan,AL,641.28
271,HVN,Tweed New Haven,New Haven,CT,383.33
272,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,468.86
273,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,473.49
274,VLD,Valdosta Regional,Valdosta,GA,630.89
275,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,467.3
276,ALW,Walla Walla Regional,Walla Walla,WA,365.57
277,FLO,Florence Regional,Florence,SC,429.97
278,GTR,Golden Triangle Regional,Columbus,MS,607.99
279,LWS,Lewiston Nez Perce County,Lewiston,ID,575.41
280,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,512.8
281,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,228.44
282,HDN,Yampa Valley,Hayden,CO,557.49
283,CSG,Columbus Airport,Columbus,GA,551.46
284,TXK,Texarkana Regional-Webb Field,Texarkana,AR,526.61
285,SPN,Francisco C. Ada Saipan International,Saipan,TT,440.77
286,DBQ,Dubuque Regional,Dubuque,IA,530.54
287,OTZ,Ralph Wien Memorial,Kotzebue,AK,449.91
288,ABY,Southwest Georgia Regional,Albany,GA,598.57
289,OME,Nome Airport,Nome,AK,534.69
290,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,144.09
291,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,499.39
292,BJI,Bemidji Regional,Bemidji,MN,573.11
293,PPG,Pago Pago International,Pago Pago,TT,1180.14
294,ABR,Aberdeen Regional,Aberdeen,SD,588.68
295,BQK,Brunswick Golden Isles,Brunswick,GA,542.54
296,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,129.79
297,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,486.44
298,SWO,Stillwater Regional,Stillwater,OK,485.07
299,GGG,East Texas Regional,Longview,TX,512.41
300,COD,Yellowstone Regional,Cody,WY,502.48
301,OGS,Ogdensburg International,Ogdensburg,NY,237.72
302,CIU,Chippewa County International,Sault Ste. Marie,MI,589
303,STC,St. Cloud Regional,St. Cloud,MN,169
304,RHI,Rhinelander/Oneida County,Rhinelander,WI,552.71
305,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,334.75
306,HOB,Lea County Regional,Hobbs,NM,547.31
307,BTM,Bert Mooney,Butte,MT,549.96
308,GCC,Gillette Campbell County,Gillette,WY,568.18
309,GCK,Garden City Regional,Garden City,KS,501.42
310,CDC,Cedar City Regional,Cedar City,UT,390.13
311,BRD,Brainerd Lakes Regional,Brainerd,MN,602.6
312,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,609.97
313,ART,Watertown International,Watertown,NY,461.86
314,RKS,Southwest Wyoming Regional,Rock Springs,WY,497.3
315,ALO,Waterloo Regional,Waterloo,IA,469.68
316,DRT,Del Rio International,Del Rio,TX,428.92
317,MEI,Key Field,Meridian,MS,487.95
318,EAU,Chippewa Valley Regional,Eau Claire,WI,414.2
319,IMT,Ford,Iron Mountain/Kingsfd,MI,455.04
320,IPT,Williamsport Regional,Williamsport,PA,448.99
321,EKO,Elko Regional,Elko,NV,721.77
322,EAR,Kearney Regional,Kearney,NE,446.31
323,HIB,Range Regional,Hibbing,MN,559.15
324,LAR,Laramie Regional,Laramie,WY,456.98
325,ESC,Delta County,Escanaba,MI,458.63
326,MKG,Muskegon County,Muskegon,MI,409.94
327,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,567.63
328,CMX,Houghton County Memorial,Hancock/Houghton,MI,520.73
329,OWB,Owensboro Daviess County Regional,Owensboro,KY,140.12
330,PSG,Petersburg James A Johnson,Petersburg,AK,423.6
331,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,285.54
332,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,448.31
