2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($)
151,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,299.34
152,STT,Cyril E King,Charlotte Amalie,VI,335.86
153,BIS,Bismarck Municipal,Bismarck/Mandan,ND,289.3
154,GRB,Green Bay Austin Straubel International,Green Bay,WI,296.25
155,AMA,Rick Husband Amarillo International,Amarillo,TX,270.26
156,SHV,Shreveport Regional,Shreveport,LA,339.04
157,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,290.48
158,DAB,Daytona Beach International,Daytona Beach,FL,249.68
159,CRP,Corpus Christi International,Corpus Christi,TX,305.63
160,HRL,Valley International,Harlingen/San Benito,TX,222.47
161,RAP,Rapid City Regional,Rapid City,SD,305.82
162,GNV,Gainesville Regional,Gainesville,FL,280.06
163,BGR,Bangor International,Bangor,ME,287.26
164,MOB,Mobile Regional,Mobile,AL,382.61
165,FCA,Glacier Park International,Kalispell,MT,344.25
166,SBP,San Luis County Regional,San Luis Obispo,CA,347.23
167,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,318.64
168,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,319.66
169,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,183.27
170,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,297.16
171,JNU,Juneau International,Juneau,AK,357.07
172,EVV,Evansville Regional,Evansville,IN,264.7
173,TVC,Cherry Capital,Traverse City,MI,300.83
174,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,304
175,GJT,Grand Junction Regional,Grand Junction,CO,314.76
176,MLB,Melbourne International,Melbourne,FL,261.48
177,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,287.29
178,CRW,Yeager,Charleston/Dunbar,WV,323.55
179,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,310.46
180,EYW,Key West International,Key West,FL,366.84
181,BLV,Scott AFB/MidAmerica,Belleville,IL,98.38
182,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,116.15
183,JAC,Jackson Hole,Jackson,WY,433.23
184,LCK,Rickenbacker International,Columbus,OH,108.39
185,MRY,Monterey Regional,Monterey,CA,343.19
186,USA,Concord Padgett Regional,Concord,NC,99.3
187,GTF,Great Falls International,Great Falls,MT,293.21
188,SCE,University Park,State College,PA,260.57
189,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,290.63
190,MOT,Minot International,Minot,ND,340.3
191,LBE,Arnold Palmer Regional,Latrobe,PA,97.28
192,MGM,Montgomery Regional,Montgomery,AL,337.77
193,PBG,Plattsburgh International,Plattsburgh,NY,187.38
194,RST,Rochester International,Rochester,MN,245.54
195,IDA,Idaho Falls Regional,Idaho Falls,ID,321.74
196,LAN,Capital Region International,Lansing,MI,259.72
197,ELM,Elmira/Corning Regional,Elmira/Corning,NY,226.26
198,GRK,Robert Gray AAF,Killeen,TX,268.77
199,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,477.78
200,DRO,Durango La Plata County,Durango,CO,412.08
201,RFD,Chicago/Rockford International,Rockford,IL,112.1
202,DLH,Duluth International,Duluth,MN,248.58
203,BFL,Meadows Field,Bakersfield,CA,355.3
204,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,305.44
205,LNK,Lincoln Airport,Lincoln,NE,347.37
206,IAG,Niagara Falls International,Niagara Falls,NY,101.03
207,TOL,Toledo Express,Toledo,OH,159.89
208,CWA,Central Wisconsin,Mosinee,WI,298.24
209,STX,Henry E. Rohlsen,Christiansted,VI,449.93
210,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,141.89
211,COU,Columbia Regional,Columbia,MO,299.84
212,MBS,MBS International,Saginaw/Bay City/Midland,MI,359.5
213,SCK,Stockton Metropolitan,Stockton,CA,91.46
214,GFK,Grand Forks International,Grand Forks,ND,401.92
215,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,297.32
216,BRO,Brownsville South Padre Island International,Brownsville,TX,304.27
217,AEX,Alexandria International,Alexandria,LA,367.03
218,CMI,University of Illinois/Willard,Champaign/Urbana,IL,423.7
219,MLU,Monroe Regional,Monroe,LA,303.57
220,ORH,Worcester Regional,Worcester,MA,191.2
221,HLN,Helena Regional,Helena,MT,391.21
222,ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,308.76
223,PVU,Provo Municipal,Provo,UT,105.93
224,FLG,Flagstaff Pulliam,Flagstaff,AZ,327.04
225,ERI,Erie International/Tom Ridge Field,Erie,PA,263.3
226,LSE,La Crosse Regional,La Crosse,WI,231.41
227,SAF,Santa Fe Municipal,Santa Fe,NM,308.13
228,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,316.83
229,LRD,Laredo International,Laredo,TX,315.52
230,YUM,Yuma MCAS/Yuma International,Yuma,AZ,340.45
231,CPR,Casper/Natrona County International,Casper,WY,434.48
232,KTN,Ketchikan International,Ketchikan,AK,417.8
233,SGU,St George Regional,St. George,UT,254.8
234,MTJ,Montrose Regional,Montrose/Delta,CO,428.81
235,FSM,Fort Smith Regional,Fort Smith,AR,362.84
236,GUM,Guam International,Guam,TT,1383.44
237,ABI,Abilene Regional,Abilene,TX,322.62
238,GRI,Central Nebraska Regional,Grand Island,NE,179.6
239,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,453.32
