Date,Total Traveler Throughput,Total Traveler Throughput (1 Year Ago - Same Weekday)
8/21/20,"764,468","2,559,244"
8/20/20,"772,380","2,533,184"
8/19/20,"586,718","2,306,838"
8/18/20,"565,946","2,247,446"
8/17/20,"773,319","2,576,965"
8/16/20,"862,949","2,584,444"
8/15/20,"689,895","2,171,962"
8/14/20,"783,744","2,627,564"
8/13/20,"761,821","2,602,446"
8/12/20,"590,749","2,391,906"
8/11/20,"559,420","2,306,829"
8/10/20,"761,861","2,567,986"
8/9/20,"831,789","2,647,897"
8/8/20,"683,212","2,290,340"
8/7/20,"762,547","2,725,000"
8/6/20,"743,599","2,707,986"
8/5/20,"595,739","2,430,094"
8/4/20,"543,601","2,387,115"
8/3/20,"737,235","2,619,406"
8/2/20,"799,861","2,688,640"
8/1/20,"709,033","2,367,967"
7/31/20,"767,320","2,730,936"
7/30/20,"718,310","2,742,882"
7/29/20,"573,200","2,542,365"
7/28/20,"536,756","2,438,967"
7/27/20,"700,043","2,613,346"
7/26/20,"751,205","2,700,723"
7/25/20,"649,027","2,364,925"
7/24/20,"724,770","2,732,770"
7/23/20,"704,815","2,705,399"
7/22/20,"570,951","2,561,911"
7/21/20,"530,421","2,499,460"
7/20/20,"695,330","2,635,312"
7/19/20,"747,422","2,727,355"
7/18/20,"646,654","2,396,462"
7/17/20,"720,378","2,776,960"
7/16/20,"706,164","2,716,828"
7/15/20,"589,285","2,522,563"
7/14/20,"540,268","2,447,177"
7/13/20,"697,985","2,615,115"
7/12/20,"754,545","2,669,717"
7/11/20,"656,284","2,312,178"
7/10/20,"711,124","2,716,812"
7/9/20,"709,653","2,608,209"
7/8/20,"632,498","2,515,902"
7/7/20,"641,761","2,506,859"
7/6/20,"755,555","2,748,718"
7/5/20,"732,123","2,795,369"
7/4/20,"466,669","2,345,846"
7/3/20,"718,988","2,184,253"
7/2/20,"764,761","2,088,760"
7/1/20,"626,516","2,547,889"
6/30/20,"500,054","2,347,767"
6/29/20,"625,235","2,455,536"
6/28/20,"633,810","2,632,030"
6/27/20,"546,310","2,368,846"
6/26/20,"632,984","2,730,515"
6/25/20,"623,624","2,711,222"
6/24/20,"494,826","2,594,661"
6/23/20,"471,421","2,506,510"
6/22/20,"607,540","2,716,428"
6/21/20,"590,456","2,719,643"
6/20/20,"507,129","2,378,559"
6/19/20,"587,908","2,772,903"
6/18/20,"576,514","2,728,786"
6/17/20,"441,829","2,552,395"
6/16/20,"417,924","2,466,574"
6/15/20,"534,528","2,699,580"
